animal_id,group_id,phase,overall_det,first_half_det,second_half_det
B6.13,young,sample,0.3957404655770183,0.5473684210526316,0.34554973821989526
B6.14,young,sample,0.4993234100135318,0.6847826086956522,0.48035837353549277
B6.16,young,sample,0.4407658556043079,0.36220472440944884,0.43777089783281736
B6.18,young,sample,0.5577519379844961,0.6,0.45166051660516604
B6.20,young,sample,0.5675770308123249,0.4180327868852459,0.5386614684860299
B8.01,young,sample,0.3981687014428413,0.5436893203883495,0.36975914362176626
B8.02,young,sample,0.5897699965671129,0.24778761061946902,0.5152224824355972
B8.03,young,sample,0.3451730418943534,0.174496644295302,0.3340471092077088
B8.04,young,sample,0.4108974358974359,0.3333333333333333,0.4207547169811321
B8.05,young,sample,0.5175531914893617,0.3793103448275862,0.45267489711934156
B8.06,young,sample,0.5566969577242197,0.5301204819277109,0.4960091220068415
B8.07,young,sample,0.42531120331950206,0.4583333333333333,0.4642857142857143
B8.09,young,sample,0.5761791652527994,0.2847222222222222,0.4859392575928009
B8.11,young,sample,0.4270833333333333,0.3645833333333333,0.4348441926345609
B8.13,young,sample,0.4548540393754243,0.47058823529411764,0.432
F1a.01,young,sample,0.6175308641975309,0.4884393063583815,0.6274509803921569
F1a.02,young,sample,0.6513129573826948,0.5473251028806584,0.6102877070619006
F1a.03,young,sample,0.5087448559670782,0.22580645161290322,0.508140531276778
F1a.04,young,sample,0.45068664169787764,0.631578947368421,0.3937381404174573
F1a.05,young,sample,0.6193078324225865,0.2505050505050505,0.5973724884080371
F1a.06,young,sample,0.6024955436720143,0.4372093023255814,0.5069708491761724
F1a.07,young,sample,0.4385330578512397,0.19834710743801653,0.473993288590604
F1a.08,young,sample,0.6238612988539524,0.6741935483870968,0.5849500293944738
F1a.09,young,sample,0.557738710789383,0.6367521367521367,0.4838709677419355
F1a.10,young,sample,0.555352798053528,0.359375,0.5321992709599028
F1a.11,young,sample,0.5035675675675676,0.6252927400468384,0.4167747514051016
F1a.12,young,sample,0.7030178326474623,0.5984848484848485,0.683392683716413
F1a.14,young,sample,0.5657216494845361,0.5686274509803921,0.5553021664766249
F1a.16,young,sample,0.5821917808219178,0.3707865168539326,0.6215360253365004
F1a.18,young,sample,0.6118902439024391,0.16666666666666666,0.6086375779162957
F5a.01,young,sample,0.4533954727030626,0.26693227091633465,0.4951830443159923
F5a.02,young,sample,0.5402719665271967,0.2689655172413793,0.49709302325581395
F5a.03,young,sample,0.3599615014436959,0.17543859649122806,0.3806734992679356
F5a.04,young,sample,0.5937012784533833,0.6222222222222222,0.5889803673210893
F5a.05,young,sample,0.5943496801705757,0.5149253731343284,0.5446096654275093
F5a.06,young,sample,0.6949025487256372,0.6646525679758308,0.5690265486725664
F5a.07,young,sample,0.6057168784029038,0.46808510638297873,0.5876923076923077
F5a.08,young,sample,0.621875,0.48863636363636365,0.6396194739787353
F5a.09,young,sample,0.4446074834922964,0.34328358208955223,0.3886966551326413
F5a.10,young,sample,0.5385977337110481,0.5491803278688525,0.48379888268156424
F5a.11,young,sample,0.5393457117595049,0.3157894736842105,0.5412186379928315
F8a.01,young,sample,0.5309859154929577,0.535031847133758,0.5533894550287993
F8a.02,young,sample,0.4467005076142132,0.8615384615384616,0.38095238095238093
F8a.03,young,sample,0.43738977072310403,0.37681159420289856,0.39983779399837793
F8a.04,young,sample,0.7189853349187475,0.6951871657754011,0.6520119225037257
F8a.05,young,sample,0.51875,0.42021276595744683,0.4099585062240664
F8a.06,young,sample,0.5443962115232833,0.39464882943143814,0.5291519434628975
F8a.08,young,sample,0.5456341367048597,0.6949152542372882,0.49269717624148
F8a.10,young,sample,0.5123830489818382,0.9347826086956522,0.44849589790337285
F8a.12,young,sample,0.4744399770246984,0.41964285714285715,0.43944813490035767
F8a.14,young,sample,0.5849251419721219,0.532258064516129,0.5109170305676856
F8a.16,young,sample,0.3587054240335631,0.5034965034965035,0.37242327072835546
F8a.18,young,sample,0.4406485234510712,0.291005291005291,0.4250871080139373
F8a.20,young,sample,0.5566194837635304,0.405982905982906,0.44717444717444715
B01,young,test,0.5327812284334024,0.23157894736842105,0.5091743119266054
B02,young,test,0.484304932735426,0.3894736842105263,0.41307692307692306
B03,young,test,0.37678460583488516,0.21296296296296297,0.25234741784037557
B04,young,test,0.5403921568627451,0.4419475655430712,0.5552845528455285
B05,young,test,0.6752375628842929,0.5873015873015873,0.674979887369268
B06,young,test,0.6917191719171917,0.5146198830409356,0.6254098360655738
B07,young,test,0.44593045471914405,0.26785714285714285,0.4452097683155917
